gen,time,PKG,GPU,seconds_passed,best_of_gen,average,best_of_gen_std
1582.0,1970-01-01 00:00:01.749325701,22003.99703799998,72906.13594699989,9.371999999999999e-07,0.6936926959298246,-383.04241347815343,0.006593748261863626
1583.0,1970-01-01 00:00:01.749325702,22011.44193399998,72928.85922099989,9.375999999999999e-07,0.6936926959298246,-459.88546285112113,0.006593748261863626
1584.0,1970-01-01 00:00:01.749325702,22033.78592199998,72991.60724299987,9.382e-07,0.6936926959298246,-515.2854330606287,0.006593748261863626
1585.0,1970-01-01 00:00:01.749325703,22037.41266999998,73002.56542999989,9.386e-07,0.6936926959298246,-411.63309083696157,0.006593748261863626
1586.0,1970-01-01 00:00:01.749325703,22053.413877999978,73045.51315699988,9.391999999999999e-07,0.6936926959298246,-450.29800119635104,0.006593748261863626
1587.0,1970-01-01 00:00:01.749325704,22069.29393599998,73098.31923399988,9.396e-07,0.6936926959298246,-408.0172902129976,0.006593748261863626
1588.0,1970-01-01 00:00:01.749325704,22086.28350999998,73140.04078999987,9.401999999999999e-07,0.6936926959298246,-419.46323344751835,0.006593748261863626
1589.0,1970-01-01 00:00:01.749325705,22099.33838599998,73180.73100899988,9.405999999999999e-07,0.6936926959298246,-433.2537364974939,0.006593748261863626
1590.0,1970-01-01 00:00:01.749325712,22260.00341399998,73749.99121599986,9.473999999999999e-07,0.6936926959298246,-430.47349600556674,0.006593748261863626
1591.0,1970-01-01 00:00:01.749325712,22273.043239999977,73795.57228499987,9.480000000000001e-07,0.6957114019478426,-471.68575987456416,0.00953132540845098
1592.0,1970-01-01 00:00:01.749325713,22286.80918199998,73839.98453299986,9.483999999999999e-07,0.6957114019478426,-456.0533557226601,0.00953132540845098
1593.0,1970-01-01 00:00:01.749325713,22294.80114399998,73865.29433599986,9.49e-07,0.6957114019478426,-499.90492656091465,0.00953132540845098
1594.0,1970-01-01 00:00:01.749325714,22307.72951999998,73905.68410499986,9.494000000000001e-07,0.6957114019478426,-412.65078925223844,0.00953132540845098
