time,best_of_gen,average,TRAINED,gen
1750819285.2906256,0.7660105915492957,-448.63997502197185,False,4414
1750819286.123696,0.7660105915492957,-426.6093345983099,False,4415
1750819286.9514441,0.7660105915492957,-465.6023447867309,False,4416
1750819287.7674007,0.7660105915492957,-465.60167449239435,False,4417
1750819288.5883353,0.7660105915492957,-488.6323149160564,False,4418
1750819289.4399998,0.7660105915492957,-489.6706154456338,False,4419
1750819290.3114655,0.7660105915492957,-521.6935957633802,False,4420
1750819291.1666243,0.7660105915492957,-507.68716806361203,False,4421
1750819291.9903188,0.7660105915492957,-536.6863963370964,False,4422
1750819292.8042786,0.7660105915492957,-436.6331256526917,False,4423
1750819293.6671941,0.7660105915492957,-502.70908422001565,False,4424
1750819294.6941655,0.7660105915492957,-636.7627049614241,False,4425
1750819295.4898622,0.7660105915492957,-478.6784437963537,False,4426
1750819296.3128183,0.7660105915492957,-487.6476351278873,False,4427
1750819297.152575,0.7660105915492957,-542.7014201885446,False,4428
1750819297.9576514,0.7660105915492957,-488.6706154456338,False,4429
1750819298.724181,0.7660105915492957,-398.60167449239435,False,4430
1750819299.5276258,0.7660105915492957,-495.66295533971834,False,4431
1750819300.3437183,0.7660105915492957,-571.6935957633802,False,4432
1750819301.1575181,0.7660105915492957,-470.6552952338028,False,4433
1750819301.901363,0.7660105915492957,-398.55571385690143,False,4434
1750819309.3536632,0.7660105915492957,-527.6476351278874,True,4435
1750819310.1559598,0.7660105915492957,-380.5863542805634,False,4436
1750819310.9873862,0.7660105915492957,-409.602625187797,False,4437
1750819311.836231,0.7660105915492957,-511.6782755515493,False,4438
1750819312.6465297,0.7660105915492957,-411.5873667192994,False,4439
1750819313.4727821,0.7660105915492957,-433.6323149160564,False,4440
1750819314.2475457,0.7660105915492957,-351.5185334995686,False,4441
1750819315.1044462,0.7660105915492957,-564.6871970296303,False,4442
1750819315.9920626,0.7660105915492957,-471.6788808283981,False,4443
1750819316.8163335,0.7660105915492957,-513.6552952338028,False,4444
1750819317.6368868,0.7660105915492957,-458.63997502197185,False,4445
1750819318.4058418,0.7660105915492957,-395.5633739628169,False,4446
1750819319.2544808,0.7660105915492957,-551.6792347233622,False,4447
1750819320.0982847,0.7660105915492957,-537.7242361870423,False,4448
1750819321.0966792,0.7660105915492957,-577.7636236293339,False,4449
1750819321.867236,0.7660105915492957,-417.6342153365357,False,4450
1750819322.6469607,0.7660105915492957,-371.5715246041073,False,4451
